# n=12, modulus d=5, coefficients d=5
# Frobenius number = 1312918, Frobenius root = 2001, Apery max = 1322925
coefficients = [10007, 18013, 27011, 36007, 45007, 54001, 63013, 72019, 81001, 90007, 95003, 99989]


1075, 1231936, 1221929
1076, 1231937, 1221930
1077, 1231938, 1221931
1078, 1171897, 1161890
1079, 1171898, 1161891
1080, 1161892, 1151885
1081, 1161893, 1151886
1082, 1221936, 1211929
1083, 1221937, 1211930
1084, 1201924, 1191917
1085, 1201925, 1191918
1086, 1191919, 1181912
1087, 1191920, 1181913
1088, 1211935, 1201928
1089, 1201929, 1191922
1090, 1201930, 1191923
1091, 1161903, 1151896
1092, 1201932, 1191925
1093, 1161905, 1151898
1094, 1221948, 1211941
1095, 1171914, 1161907
1096, 1201936, 1191929
1097, 1191930, 1181923
1098, 1191931, 1181924
1099, 1161911, 1151904
1100, 1161912, 1151905
1101, 1201941, 1191934
1102, 1161914, 1151907
1103, 1161915, 1151908
1104, 1161916, 1151909
1105, 1151910, 1141903
1106, 1151911, 1141904
1107, 1151912, 1141905
1108, 1191941, 1181934
1109, 1161921, 1151914
1110, 1161922, 1151915
1111, 1161923, 1151916
1112, 1151917, 1141910
1113, 1151918, 1141911
1114, 1161926, 1151919
1115, 1151920, 1141913
1116, 1151921, 1141914
1117, 1151922, 1141915
1118, 1151923, 1141916
1119, 1151924, 1141917
1120, 1121904, 1111897
1121, 1161933, 1151926
1122, 1151927, 1141920
1123, 1151928, 1141921
1124, 1151929, 1141922
1125, 1141923, 1131916
1126, 1141924, 1131917
1127, 1151932, 1141925
1128, 1151933, 1141926
1129, 1151934, 1141927
1130, 1141928, 1131921
1131, 1141929, 1131922
1132, 1141930, 1131923
1133, 1141931, 1131924
1134, 1151939, 1141932
1135, 1111912, 1101905
1136, 1141934, 1131927
1137, 1141935, 1131928
1138, 1131929, 1121922
1139, 1131930, 1121923
1140, 1131931, 1121924
1141, 1111918, 1101911
1142, 1141940, 1131933
1143, 1141941, 1131934
1144, 1141942, 1131935
1145, 1111922, 1101915
1146, 1111923, 1101916
1147, 1141945, 1131938
1148, 1111925, 1101918
1149, 1131940, 1121933
1150, 1131941, 1121934
1151, 1131942, 1121935
1152, 1111929, 1101922
1153, 1111930, 1101923
1154, 1101924, 1091917
1155, 1071904, 1061897
1156, 1131947, 1121940
1157, 1131948, 1121941
1158, 1131949, 1121942
1159, 1071908, 1061901
1160, 1071909, 1061902
1161, 1061903, 1051896
1162, 1061904, 1051897
1163, 1121947, 1111940
1164, 1121948, 1111941
1165, 1101935, 1091928
1166, 1101936, 1091929
1167, 1091930, 1081923
1168, 1091931, 1081924
1169, 1111946, 1101939
1170, 1101940, 1091933
1171, 1101941, 1091934
1172, 1061914, 1051907
1173, 1101943, 1091936
1174, 1061916, 1051909
1175, 1121959, 1111952
1176, 1071925, 1061918
1177, 1101947, 1091940
1178, 1091941, 1081934
1179, 1091942, 1081935
1180, 1061922, 1051915
1181, 1061923, 1051916
1182, 1101952, 1091945
1183, 1061925, 1051918
1184, 1061926, 1051919
1185, 1061927, 1051920
1186, 1051921, 1041914
1187, 1051922, 1041915
1188, 1051923, 1041916
1189, 1091952, 1081945
1190, 1061932, 1051925
1191, 1061933, 1051926
1192, 1061934, 1051927
1193, 1051928, 1041921
1194, 1051929, 1041922
1195, 1061937, 1051930
1196, 1051931, 1041924
1197, 1051932, 1041925
1198, 1051933, 1041926
1199, 1051934, 1041927
1200, 1051935, 1041928
1201, 1021915, 1011908
1202, 1061944, 1051937
1203, 1051938, 1041931
1204, 1051939, 1041932
1205, 1051940, 1041933
1206, 1041934, 1031927
1207, 1041935, 1031928
